CODE	CODE2	DISPLAY	SYSTEM	VALIDCODE	ACCPDX	ASTERISK	IM
06.52	0652	Complete substernal thyroidectomy	ICD9CM_2010_IM	1	Y	0	0
06.6	066	Excision of lingual thyroid	ICD9CM_2010_IM	1	Y	0	0
06.7	067	Excision of thyroglossal duct or tract	ICD9CM_2010_IM	1	Y	0	0
06.8	068	Parathyroidectomy	ICD9CM_2010_IM	0	Y	0	0
06.81	0681	Complete parathyroidectomy	ICD9CM_2010_IM	1	Y	0	0
06.89	0689	Other parathyroidectomy	ICD9CM_2010_IM	1	Y	0	0
06.9	069	Other operations on thyroid (region) and parathyroid	ICD9CM_2010_IM	0	Y	0	0
06.91	0691	Division of thyroid isthmus	ICD9CM_2010_IM	1	Y	0	0
06.92	0692	Ligation of thyroid vessels	ICD9CM_2010_IM	1	Y	0	0
06.93	0693	Suture of thyroid gland	ICD9CM_2010_IM	1	Y	0	0
06.94	0694	Thyroid tissue reimplantation	ICD9CM_2010_IM	1	Y	0	0
06.95	0695	Parathyroid tissue reimplantation	ICD9CM_2010_IM	1	Y	0	0
06.96	0696	Percutaneous ablation of thyroid lesion or tissue (IM)	ICD9CM_2010_IM	1	Y	0	1
06.98	0698	Other operations on thyroid glands	ICD9CM_2010_IM	1	Y	0	0
06.99	0699	Other operations on parathyroid glands	ICD9CM_2010_IM	1	Y	0	0
07	07	Operations on other endocrine glands	ICD9CM_2010_IM	0	Y	0	0
07.0	070	Exploration of adrenal field	ICD9CM_2010_IM	0	Y	0	0
07.00	0700	Exploration of adrenal field, not otherwise specified	ICD9CM_2010_IM	1	Y	0	0
07.01	0701	Unilateral exploration of adrenal field	ICD9CM_2010_IM	1	Y	0	0
07.02	0702	Bilateral exploration of adrenal field	ICD9CM_2010_IM	1	Y	0	0
07.1	071	Diagnostic procedures on adrenal glands, pituitary gland, pineal gla	ICD9CM_2010_IM	0	Y	0	0
07.11	0711	Closed [percutaneous] [needle] biopsy of adrenal gland	ICD9CM_2010_IM	1	Y	0	0
07.12	0712	Open biopsy of adrenal gland	ICD9CM_2010_IM	1	Y	0	0
07.13	0713	Biopsy of pituitary gland, transfrontal approach	ICD9CM_2010_IM	1	Y	0	0
